Employee_ID,Name,Department,Gender,Years_at_Company,Salary,Experience_Level,Termination_Flag
66888,Melissa Marks,HR,Female,7,115353.0,Junior,Retain
53229,Kevin Reynolds,Product Management,Female,2,116797.0,Mid,Retain
36956,Mr. Charles Larsen,Customer Support,Female,11,105953.0,Mid,Retain
4764,Holly Hamilton,Product Management,Male,10,102330.90000000001,Mid,Retain
60439,Brian Santos,Product Management,Male,2,147112.0,Mid,Retain
53153,Alan Campbell,Marketing,Female,10,60358.0,Junior,Retain
96790,Cody Cooper MD,Customer Support,Female,1,43267.0,Junior,Terminate
40728,Audrey Wells,Data Science,Male,8,122745.0,Senior,Retain
73900,Alexander Delgado,Customer Support,Male,1,129588.0,Mid,Terminate
18782,Sabrina Moore,Data Science,Female,9,82438.65000000001,Senior,Retain
55517,Jamie Richardson,Talent Development,Male,11,66092.0,Junior,Retain
76893,Michael Gomez,Customer Support,Female,6,51338.0,Junior,Retain
82661,Joseph Barton,Product Management,Female,7,40412.0,Junior,Retain
17292,Carla Fisher,Marketing,Male,13,47543.0,Junior,Retain
96597,Nicholas Anderson,HR,Male,10,145891.0,Junior,Retain
60068,Latasha Bass,Marketing,Female,7,73496.0,Junior,Retain
42919,Antonio Smith,HR,Female,10,100692.0,Junior,Retain
44480,Cathy Garcia,Product Management,Male,3,129084.0,Mid,Retain
78166,Tiffany Rivera,Data Science,Female,2,130000.0,Senior,Retain
85082,Carlos Butler,HR,Male,9,84425.0,Junior,Retain
84784,Andres Mitchell,Marketing,Female,8,78756.0,Mid,Retain
97686,Rebecca Friedman,Product Management,Male,13,61832.4,Mid,Retain
53344,Renee Thompson,Data Science,Male,12,75735.0,Senior,Retain
18931,Calvin Singh,Engineering,Male,10,87295.0,Junior,Retain
95190,Glenn Carter,Data Science,Female,7,123042.0,Senior,Retain
90667,Kerry Jacobs,Customer Support,Female,9,125999.0,Junior,Retain
75216,Danielle Pennington,Customer Support,Male,4,57955.0,Mid,Retain
39664,Richard Kim,Marketing,Female,13,77841.0,Mid,Retain
19017,Troy Kelly,HR,Male,4,110640.0,Mid,Retain
60848,Dylan Gomez,HR,Male,1,105510.0,Mid,Retain
21468,Robert Moss,Data Science,Female,8,74911.0,Senior,Retain
10171,Michael Roman,Talent Development,Female,14,99031.0,Junior,Retain
65434,Kevin Phillips,Talent Development,Male,14,128726.0,Junior,Retain
9342,Cindy Lopez,Data Science,Female,12,47357.0,Senior,Retain
11646,Rebecca Fletcher,Customer Support,Female,3,72479.0,Junior,Retain
6778,Kayla Johnson,Product Management,Male,7,101476.0,Mid,Retain
3936,Kimberly Fowler,Customer Support,Male,12,84811.0,Junior,Retain
59276,Michael Ross,Product Management,Female,2,76208.0,Mid,Retain
20633,Melissa Pittman,Data Science,Male,2,60150.0,Senior,Retain
19788,Curtis Johnson,Marketing,Male,7,111180.0,Junior,Retain
96764,Dawn Williams,Data Science,Female,6,83286.0,Senior,Retain
80367,Lisa Neal,Engineering,Male,3,108450.0,Junior,Retain
96404,Christopher White,HR,Male,9,61352.0,Mid,Retain
23467,Stephanie Martinez,Data Science,Female,10,95069.0,Senior,Retain
29595,Randall Martinez,Marketing,Female,14,54397.0,Junior,Retain
23171,Jeffrey Beck,Data Science,Male,13,81555.0,Senior,Retain
84674,Crystal Dunlap,Data Science,Male,6,86959.0,Senior,Retain
26518,Stephanie Blair,Data Science,Female,10,42764.4,Senior,Retain
23091,Carolyn Smith,Marketing,Female,10,90517.0,Junior,Retain
5857,Mark Thompson,HR,Female,6,106234.0,Junior,Retain
78257,Ashley House,HR,Female,1,79954.0,Junior,Retain
94615,Ryan Hopkins,HR,Male,4,87280.0,Mid,Retain
60615,April Knight,HR,Female,10,119459.0,Junior,Retain
75967,Renee Perez,Data Science,Female,6,56779.0,Senior,Retain
11415,William Lutz,Data Science,Male,6,103932.0,Senior,Retain
63500,Janet Dodson,Engineering,Female,11,112936.0,Junior,Retain
