Employee_ID,Name,Department,Gender,Years_at_Company,Salary,Experience_Level
68289,Cassie Anderson,Engineering,1,0,56168,Mid
40690,April Hunt,Product Management,0,0,57561,Mid
64281,Vincent Burgess,Product Management,1,1,76734,Mid
68754,Kristy Lewis,Engineering,1,0,56371,Junior
1427,Todd Hall,Product Management,0,0,76069,Mid
36073,Dustin Ayala,Engineering,1,0,62910,Junior
99796,Michelle Dean,Engineering,0,1,73275,Junior
1114,Lauren Bridges,Engineering,0,1,110004,Junior
97379,Ashley Lowery,Product Management,0,0,112981,Junior
14576,Sydney Myers,Engineering,0,0,104553,Junior
29267,Nicole Walker,Engineering,0,0,98447,Junior
2074,Nicholas Russell,Engineering,1,0,84529,Mid
24465,Evelyn Miller,Product Management,0,1,67260,Junior
4296,Brianna Dominguez,Product Management,0,1,53812,Mid
6921,Penny Hamilton,Product Management,1,1,78024,Mid
78133,Kirk Evans,Product Management,0,1,108656,Junior
8388,James Reyes MD,Product Management,1,0,77285,Mid
49582,Mark Ortiz,Engineering,1,0,51605,Mid
88250,Mary Kennedy,Product Management,1,0,77139,Mid
28667,Sean Frederick,Product Management,0,1,106138,Mid
