Employee_ID,Name,Department,Gender,Years_at_Company,Salary,Experience_Level
24887,Christopher Garcia,HR,1,0,46469,Junior
72380,Kyle Schmidt,Marketing,0,0,49333,Junior
43966,Christopher Taylor,HR,1,0,56608,Junior
93655,Joel Li,Marketing,0,0,52819,Junior
65145,Frances Nicholson DDS,Marketing,0,0,44208,Junior
2358,Tammy Howell,HR,1,0,46283,Junior
53548,Patricia Moore,Marketing,1,0,42048,Junior
83084,Joshua Reese,Marketing,0,0,46233,Junior
68919,Julie Williams,Marketing,0,0,52941,Junior
62915,Lynn Serrano,HR,1,0,52607,Junior
